Sweet Tooth,2021,16+,7.9/10,84/100,NETFLIX,non-existing,non-existing,non-existing
Good Girls,2018,16+,7.8/10,84/100,NETFLIX,HULU,non-existing,non-existing
Death Note,2006,16+,9.0/10,84/100,NETFLIX,HULU,non-existing,non-existing
Gilmore Girls,2000,16+,8.1/10,84/100,NETFLIX,non-existing,non-existing,non-existing
The Legend of Korra,2012,7+,8.4/10,83/100,NETFLIX,non-existing,non-existing,non-existing
How to Get Away with Murder,2014,16+,8.1/10,83/100,NETFLIX,HULU,non-existing,non-existing
Master of None,2015,18+,8.3/10,83/100,NETFLIX,non-existing,non-existing,non-existing
Chappelle's Show,2003,18+,8.7/10,83/100,NETFLIX,non-existing,non-existing,non-existing
One-Punch Man,2015,7+,8.8/10,83/100,NETFLIX,HULU,non-existing,non-existing
Downton Abbey,2010,16+,8.7/10,83/100,NETFLIX,non-existing,PRIME_VIDEO,non-existing
Gotham,2014,16+,7.8/10,83/100,NETFLIX,non-existing,non-existing,non-existing
Pose,2018,18+,8.6/10,83/100,NETFLIX,non-existing,non-existing,non-existing
Bodyguard,2018,18+,8.1/10,83/100,NETFLIX,non-existing,non-existing,non-existing
Altered Carbon,2018,18+,8.0/10,83/100,NETFLIX,non-existing,non-existing,non-existing
Ash vs Evil Dead,2015,18+,8.4/10,83/100,NETFLIX,non-existing,non-existing,non-existing
The Sinner,2017,16+,7.9/10,83/100,NETFLIX,non-existing,non-existing,non-existing
Narcos: Mexico,2018,18+,8.4/10,82/100,NETFLIX,non-existing,non-existing,non-existing
Shadow and Bone,2021,16+,7.7/10,82/100,NETFLIX,non-existing,non-existing,non-existing
Castlevania,2017,18+,8.3/10,82/100,NETFLIX,non-existing,non-existing,non-existing
Star Trek,1966,7+,8.3/10,82/100,NETFLIX,HULU,PRIME_VIDEO,non-existing
The Kominsky Method,2018,18+,8.2/10,82/100,NETFLIX,non-existing,non-existing,non-existing
Hunter x Hunter,2011,16+,9.0/10,82/100,NETFLIX,HULU,non-existing,non-existing
Dead to Me,2019,18+,8.0/10,82/100,NETFLIX,non-existing,non-existing,non-existing
The Haunting of Hill House,2018,18+,8.6/10,82/100,NETFLIX,non-existing,non-existing,non-existing
Russian Doll,2019,18+,7.9/10,82/100,NETFLIX,non-existing,non-existing,non-existing
Kingdom,2019,18+,8.4/10,82/100,NETFLIX,HULU,non-existing,non-existing
Neon Genesis Evangelion,1995,16+,8.5/10,82/100,NETFLIX,non-existing,non-existing,non-existing
Naruto,2002,7+,8.3/10,81/100,NETFLIX,HULU,non-existing,non-existing
NCIS,2003,16+,7.7/10,81/100,NETFLIX,non-existing,non-existing,non-existing
Manifest,2018,16+,7.2/10,81/100,NETFLIX,HULU,non-existing,non-existing
Halt and Catch Fire,2014,16+,8.4/10,81/100,NETFLIX,non-existing,non-existing,non-existing
Monty Python's Flying Circus,1969,16+,8.8/10,81/100,NETFLIX,non-existing,non-existing,non-existing
After Life,2019,18+,8.4/10,81/100,NETFLIX,non-existing,non-existing,non-existing
Riverdale,2017,16+,6.8/10,81/100,NETFLIX,HULU,non-existing,non-existing
Big Mouth,2017,18+,7.9/10,81/100,NETFLIX,non-existing,non-existing,non-existing
I Think You Should Leave with Tim Robinson,2019,18+,7.8/10,81/100,NETFLIX,non-existing,non-existing,non-existing
Derry Girls,2018,16+,8.4/10,81/100,NETFLIX,non-existing,non-existing,non-existing
The Promised Neverland,2019,18+,8.5/10,81/100,NETFLIX,HULU,non-existing,non-existing
Lost in Space,2018,7+,7.3/10,80/100,NETFLIX,HULU,non-existing,non-existing
Star Trek: Deep Space Nine,1993,7+,8.0/10,80/100,NETFLIX,HULU,PRIME_VIDEO,non-existing
Jane the Virgin,2014,16+,7.8/10,80/100,NETFLIX,non-existing,non-existing,non-existing
Godless,2017,18+,8.3/10,80/100,NETFLIX,non-existing,non-existing,non-existing
The OA,2016,18+,7.8/10,80/100,NETFLIX,non-existing,non-existing,non-existing
DC's Legends of Tomorrow,2016,16+,6.8/10,80/100,NETFLIX,non-existing,non-existing,non-existing
Sacred Games,2018,18+,8.6/10,80/100,NETFLIX,non-existing,non-existing,non-existing
iZombie,2015,16+,7.8/10,80/100,NETFLIX,non-existing,non-existing,non-existing
Longmire,2012,16+,8.3/10,80/100,NETFLIX,non-existing,non-existing,non-existing
Happy Endings,2011,16+,7.7/10,80/100,NETFLIX,HULU,non-existing,non-existing
Into the Badlands,2015,16+,8.0/10,80/100,NETFLIX,non-existing,non-existing,non-existing
The Originals,2013,16+,8.2/10,80/100,NETFLIX,non-existing,non-existing,non-existing
Grace and Frankie,2015,18+,8.3/10,80/100,NETFLIX,non-existing,non-existing,non-existing
Chilling Adventures of Sabrina,2018,16+,7.5/10,80/100,NETFLIX,non-existing,non-existing,non-existing
Queen of the South,2016,16+,8.0/10,79/100,NETFLIX,non-existing,non-existing,non-existing
A Series of Unfortunate Events,2017,7+,7.8/10,79/100,NETFLIX,non-existing,non-existing,non-existing
Unorthodox,2020,18+,8.0/10,79/100,NETFLIX,non-existing,non-existing,non-existing
Stargate SG-1,1997,13+,8.4/10,79/100,NETFLIX,HULU,non-existing,non-existing
Outer Banks,2020,18+,7.6/10,79/100,NETFLIX,non-existing,non-existing,non-existing
13 Reasons Why,2017,18+,7.6/10,79/100,NETFLIX,non-existing,non-existing,non-existing
Unbreakable Kimmy Schmidt,2015,16+,7.6/10,79/100,NETFLIX,non-existing,non-existing,non-existing
Marvel's Luke Cage,2016,18+,7.3/10,79/100,NETFLIX,non-existing,non-existing,non-existing
GLOW,2017,18+,8.0/10,79/100,NETFLIX,non-existing,non-existing,non-existing
Borgen,2010,18+,8.5/10,79/100,NETFLIX,non-existing,non-existing,non-existing
The 4400,2004,7+,7.3/10,79/100,NETFLIX,non-existing,non-existing,non-existing
Alias Grace,2017,18+,7.7/10,79/100,NETFLIX,non-existing,non-existing,non-existing
All American,2018,16+,7.7/10,79/100,NETFLIX,non-existing,non-existing,non-existing
Santa Clarita Diet,2017,18+,7.8/10,79/100,NETFLIX,non-existing,non-existing,non-existing
Reign,2013,16+,7.5/10,78/100,NETFLIX,non-existing,non-existing,non-existing
