The Promised Neverland,2019,18,8.5,8.1,1,1,0,0
Lost in Space,2018,7,7.3,8,1,1,0,0
Star Trek: Deep Space Nine,1993,7,8,8,1,1,1,0
Jane the Virgin,2014,16,7.8,8,1,0,0,0
Godless,2017,18,8.3,8,1,0,0,0
The OA,2016,18,7.8,8,1,0,0,0
DC's Legends of Tomorrow,2016,16,6.8,8,1,0,0,0
Sacred Games,2018,18,8.6,8,1,0,0,0
iZombie,2015,16,7.8,8,1,0,0,0
Longmire,2012,16,8.3,8,1,0,0,0
Happy Endings,2011,16,7.7,8,1,1,0,0
Into the Badlands,2015,16,8,8,1,0,0,0
The Originals,2013,16,8.2,8,1,0,0,0
Grace and Frankie,2015,18,8.3,8,1,0,0,0
Chilling Adventures of Sabrina,2018,16,7.5,8,1,0,0,0
Queen of the South,2016,16,8,7.9,1,0,0,0
A Series of Unfortunate Events,2017,7,7.8,7.9,1,0,0,0
Unorthodox,2020,18,8,7.9,1,0,0,0
Stargate SG-1,1997,13,8.4,7.9,1,1,0,0
Outer Banks,2020,18,7.6,7.9,1,0,0,0
13 Reasons Why,2017,18,7.6,7.9,1,0,0,0
Unbreakable Kimmy Schmidt,2015,16,7.6,7.9,1,0,0,0
Marvel's Luke Cage,2016,18,7.3,7.9,1,0,0,0
GLOW,2017,18,8,7.9,1,0,0,0
Borgen,2010,18,8.5,7.9,1,0,0,0
The 4400,2004,7,7.3,7.9,1,0,0,0
Alias Grace,2017,18,7.7,7.9,1,0,0,0
All American,2018,16,7.7,7.9,1,0,0,0
Santa Clarita Diet,2017,18,7.8,7.9,1,0,0,0
Reign,2013,16,7.5,7.8,1,0,0,0
Maniac,2018,18,7.8,7.8,1,0,0,0
Dark Matter,2015,18,7.5,7.8,1,0,1,0
Star Trek: Voyager,1995,7,7.8,7.8,1,1,1,0
Call the Midwife,2012,16,8.4,7.8,1,0,0,0
Queer Eye,2018,16,8.5,7.8,1,0,0,0
American Vandal,2017,16,8.2,7.8,1,0,0,0
Wynonna Earp,2016,16,7.5,7.8,1,0,0,0
Marvel's The Defenders,2017,18,7.3,7.8,1,0,0,0
HAPPY!,2017,18,8.2,7.7,1,0,0,0
Haikyu!!,2014,16,8.7,7.7,1,1,0,0
Colony,2016,16,7.4,7.7,1,0,0,0
Heartland,2007,7,8.4,7.7,1,0,1,0
Alone,2015,16,8.4,7.7,1,1,0,0
Marco Polo,2014,18,8,7.7,1,0,1,0
Wild Wild Country,2018,16,8.1,7.7,1,0,0,0
The Dragon Prince,2018,7,8.4,7.7,1,0,0,0
Locke & Key,2020,16,7.4,7.7,1,0,0,0
Love,2016,18,7.7,7.7,1,0,0,0
One Day at a Time,2017,7,8.2,7.7,1,0,0,0
Feel Good,2020,18,7.5,7.7,1,0,0,0
Fauda,2015,16,8.2,7.7,1,0,0,0
The Dark Crystal: Age of Resistance,2019,7,8.4,7.7,1,0,0,0
Top Boy,2011,18,8.4,7.7,1,0,0,0
I Am Not Okay with This,2020,18,7.5,7.7,1,0,0,0
Supergirl,2015,16,6.2,7.7,1,0,0,0
The Shannara Chronicles,2016,16,7.2,7.7,1,0,0,0
Designated Survivor,2016,7,7.5,7.7,1,0,0,0
Travelers,2016,16,8.1,7.7,1,0,0,0
StartUp,2016,18,7.9,7.7,1,0,0,0
Ripper Street,2012,18,8.1,7.7,1,0,0,0
Episodes,2011,18,7.8,7.7,1,0,0,0
Crazy Ex-Girlfriend,2015,16,7.8,7.6,1,0,0,0
Bloodline,2015,18,7.9,7.6,1,0,0,0
Black Summer,2019,18,6.5,7.6,1,0,0,0
The Borgias,2011,18,7.9,7.6,1,0,0,0
Glee,2009,16,6.7,7.6,1,0,1,0
The Stranger,2020,18,7.3,7.6,1,0,0,0
